2,2960
8,2172
11,232
12,548
13,21
15,639
25,527
27,2823
28,808
30,2716
31,675
36,747
38,1701
42,501
43,1303
45,414
46,60
47,789
48,763
51,716
51,2132
54,834
58,378
58,1620
62,1137
63,1088
68,99
74,552
75,1449
81,2953
88,109
88,2315
88,2819
92,897
95,486
112,198
112,223
116,983
122,2438
125,2922
128,1918
133,137
137,2481
138,276
138,1905
140,141
142,399
145,239
154,1987
156,185
156,577
160,274
160,375
171,1423
178,250
185,1334
186,2148
192,463
192,1738
195,259
196,1920
200,1322
200,2757
206,391
213,378
219,2666
223,319
225,523
225,2868
229,1996
229,1202
230,2363
235,255
238,989
241,1232
250,2496
260,2473
261,404
267,306
267,646
268,966
268,1465
283,1711
286,2865
289,2707
290,1833
292,904
295,680
295,742
298,1851
313,2902
322,2995
324,825
328,682
329,408
332,375
334,2968
335,2442
335,2638
340,554
348,2070
356,839
361,1277
362,703
363,607
386,2495
388,787
388,674
396,893
398,764
401,509
402,2795
405,465
407,2784
414,455
418,671
419,2586
421,754
437,1283
442,1884
450,1108
456,544
460,908
461,925
463,2233
468,577
474,1490
479,2043
480,1251
487,849
488,2698
490,615
490,828
501,583
501,974
507,577
507,1490
510,2679
514,2860
529,598
529,597
536,871
536,962
539,1887
540,2000
547,650
552,634
564,977
569,1039
576,1196
582,775
585,2115
592,907
608,1463
627,2733
648,706
665,1437
665,2257
673,1377
675,2945
677,2371
679,1059
680,910
681,770
690,2430
699,2954
710,1139
715,1016
732,2799
740,1522
749,2446
750,946
758,901
772,912
772,1164
775,2242
785,867
785,882
786,1998
791,971
801,1187
815,900
829,2380
833,928
847,860
854,2761
870,2114
874,964
901,960
917,947
924,2650
927,1371
929,1049
938,1875
953,2389
968,1932
972,1778
980,1469
985,1113
992,1280
1003,1618
1005,1183
1014,1623
1018,1999
1019,2252
1020,1678
1021,1247
1025,1495
1025,2168
1029,1443
1038,2539
1039,2412
1042,2873
1046,1295
1049,2468
1051,1591
1055,1504
1055,2545
1057,2026
1057,2476
1058,1815
1063,2183
1068,2348
1069,2168
1069,2902
1070,2269
1071,2656
1075,2231
1076,2450
1080,2711
1081,2320
1086,2073
1089,1625
1091,2748
1092,1162
1095,2587
1095,1981
1098,2337
1103,2125
1103,1191
1106,2193
1107,2289
1117,2206
1125,1801
1125,1791
1133,2040
1133,1510
1133,1855
1139,2441
1142,2808
1145,2606
1145,2268
1150,1311
1150,1796
1153,2575
1161,2352
1161,2367
1162,1492
1162,2022
1168,2124
1170,2160
1171,1472
1171,1811
1174,2114
1182,2129
1182,1565
1182,2539
1182,2979
1184,2498
1191,2426
1200,2325
1204,2837
1206,1571
1210,2657
1211,1462
1212,2986
1213,2971
1214,1487
1224,1551
1227,2379
1233,2275
1235,2645
1235,1831
1239,2256
1241,1870
1246,1781
1250,2803
1250,2128
1253,2604
1258,1964
1258,2349
1259,1483
1260,1369
1264,1787
1267,2543
1272,1766
1275,1719
1276,1473
1279,2710
1282,2741
1284,1500
1288,2846
1292,2260
1296,2534
1296,2330
1300,1469
1303,2974
1304,2357
1304,2738
1310,1633
1311,1857
1311,1660
1322,2051
1326,1894
1338,1720
1339,1918
1341,1783
1342,2220
1342,2898
1342,2216
1346,2182
1348,1671
1354,2280
1355,2537
1356,1429
1356,2721
1366,2186
1368,1642
1374,2953
1375,2340
1379,2568
1379,1951
1381,2397
1383,2478
1385,1458
1392,1689
1392,1832
1395,1763
1395,2624
1398,2377
1398,2645
1401,1453
1412,2818
1414,1812
1416,1653
1417,1815
1418,1516
1422,1843
1425,2307
1425,2344
1426,1722
1431,2691
1433,2704
1437,1755
1437,1876
1439,2430
1452,1719
1454,1695
1456,2004
1456,2202
1459,2490
1464,2817
1466,1639
1472,2888
1475,1835
1476,1932
1476,2508
1478,2909
1482,2114
1487,2231
1488,2864
1492,1601
1494,2055
1501,2561
1502,2201
1502,1556
1506,2571
1507,2455
1507,2958
1520,2510
1521,1850
1531,2471
1532,2943
1535,2993
1536,2462
1536,2704
1537,2193
1543,2916
1558,2155
1561,2389
1565,2450
1569,2611
1579,2158
1583,2177
1584,2973
1585,2767
1586,2083
1587,2209
1588,1912
1591,2254
1595,2102
1595,2584
1603,2723
1606,2909
1623,2763
1638,2161
1638,2850
1640,2791
1641,2572
1642,2408
1645,1951
1653,2327
1654,2043
1654,1830
1657,1759
1660,2582
1661,2922
1662,1714
1662,1734
1664,2089
1666,2718
1668,2098
1673,1790
1680,2752
1686,2261
1691,2890
1693,2080
1700,2502
1707,2899
1707,1916
1710,2891
1713,2673
1726,2044
1729,2781
1729,1947
1744,2707
1748,2503
1751,2782
1753,2362
1768,2572
1781,1788
1781,2817
1789,2033
1791,2143
1791,2234
1795,2421
1809,2234
1812,2346
1813,2815
1823,2344
1825,1852
1829,1836
1830,2260
1831,2129
1835,2332
1837,2733
1841,2595
1842,2494
1843,2580
1850,2814
1854,2954
1865,2818
1872,2907
1874,1940
1887,2246
1896,2141
1899,2066
1899,2460
1903,2458
1908,2034
1911,2137
1921,2229
1938,2039
1942,2606
1951,2926
1955,2081
1959,2300
1962,2791
1980,2347
1989,2398
2002,2313
2003,2248
2008,2311
2015,2521
2024,2989
2034,2675
2046,2161
2050,2668
2058,2494
2063,2428
2071,2118
2077,2595
2097,2295
2106,2462
2108,2327
2117,2746
2120,2790
2124,2372
2127,2860
2140,2394
2140,2206
2161,2490
2162,2417
2164,2767
2172,2729
2177,2940
2181,2594
2182,2733
2191,2506
2202,2317
2213,2258
2216,2495
2216,2556
2219,2752
2220,2808
2229,2307
2234,2598
2238,2850
2240,2440
2260,2811
2292,2356
2332,2537
2360,2913
2363,2863
2364,2817
2364,2987
2366,2674
2368,2728
2371,2819
2372,2805
2374,2976
2385,2831
2385,2822
2387,2842
2404,2567
2424,2684
2436,2722
2436,2761
2449,2578
2457,2479
2470,2766
2484,2917
2499,2892
2531,2721
2584,2760
2589,2815
2609,2976
2625,2893
2633,2826
2662,2997
2684,2962
2685,2941
2703,2871
2710,2920
2726,2834
2730,2770
2766,2798
2811,2838
2892,2976
2900,2946
